district,state,population,male_population,female_population,literate_population,literacy_rate,gender_ratio,literacy_index,population_weight
kupwara,jammu and kashmir,870354,474190,396164,439654,50.51438839828391,835.4541428541302,0.5051438839828392,0.07869279868587653
badgam,jammu and kashmir,753745,398041,355704,335649,44.53084265898944,893.636585175899,0.44530842658989445,0.06814963054743933
leh(ladakh),jammu and kashmir,133487,78971,54516,93770,70.24654086165694,690.329361411151,0.7024654086165694,0.01206918750092675
kargil,jammu and kashmir,140802,77785,63017,86236,61.246289115211425,810.1433438323584,0.6124628911521143,0.012730571055649526
punch,jammu and kashmir,476835,251899,224936,261724,54.88774943114495,892.9610677295266,0.5488774943114495,0.04311289505348392
rajouri,jammu and kashmir,642415,345351,297064,364109,56.678159756543664,860.1799328798816,0.5667815975654367,0.05808376162778292
kathua,jammu and kashmir,616435,326109,290326,389204,63.1378815284661,890.2728842196934,0.631378815284661,0.05573478763575316
baramula,jammu and kashmir,1008039,534733,473306,545149,54.080149676748626,885.1258478530407,0.5408014967674862,0.09114154711130448
bandipore,jammu and kashmir,392232,207680,184552,185979,47.41556017866977,888.6363636363636,0.4741556017866977,0.03546353990923087
srinagar,jammu and kashmir,1236829,651124,585705,748584,60.52445406761969,899.5291219491219,0.6052445406761969,0.11182752708191608
ganderbal,jammu and kashmir,297446,158720,138726,143276,48.168743234066014,874.0297379032259,0.48168743234066014,0.026893491841158003
pulwama,jammu and kashmir,560440,293064,267376,293958,52.451288273499394,912.3467911445964,0.524512882734994,0.0506720163238322
shupiyan,jammu and kashmir,266215,136480,129735,136500,51.27434592340777,950.5788393903869,0.5127434592340777,0.02406975024204016
anantnag,jammu and kashmir,1078692,559767,518925,545532,50.57347231647217,927.0374995310549,0.5057347231647217,0.09752961714436371
kulgam,jammu and kashmir,424483,217620,206863,209085,49.25638953739019,950.5698005698006,0.49256389537390194,0.038379504505726324
doda,jammu and kashmir,409936,213641,196295,219083,53.443220405136415,918.8077194920451,0.5344322040513642,0.037064241816655616
ramban,jammu and kashmir,283713,149132,134581,124065,43.72905013164712,902.4287208647372,0.4372905013164712,0.025651826720582763
kishtwar,jammu and kashmir,230696,120165,110531,107506,46.60072129555779,919.8269046727416,0.4660072129555779,0.020858310395123102
udhampur,jammu and kashmir,554985,296784,258201,322354,58.083371622656465,869.9963609898108,0.5808337162265647,0.05017880411726859
reasi,jammu and kashmir,314667,166461,148206,150542,47.84168660838283,890.3346729864653,0.4784168660838283,0.02845052344688335
jammu,jammu and kashmir,1529958,813821,716137,1137135,74.32458930245144,879.9686909037737,0.7432458930245144,0.13833069864887884
samba,jammu and kashmir,318898,169124,149774,228139,71.53980269553274,885.5869066483764,0.7153980269553274,0.028833068056593816
chamba,himachal pradesh,519080,261320,257760,323842,62.3876859058334,986.3768559620388,0.623876859058334,0.04693246419487334
kangra,himachal pradesh,1510075,750591,759484,1152640,76.32998361008559,1011.8479971116094,0.7632998361008559,0.1365329831029386
lahul and spiti,himachal pradesh,31564,16588,14976,21845,69.20859206691166,902.8213166144201,0.6920859206691167,0.002853849695320533
kullu,himachal pradesh,437903,225452,212451,307672,70.26030878984615,942.3336231215513,0.7026030878984615,0.0395928698241651
mandi,himachal pradesh,999777,498065,501712,723747,72.39084315802424,1007.3223374459157,0.7239084315802424,0.09039454083254582
hamirpur,himachal pradesh,454768,217070,237698,358091,78.74146817718045,1095.0292532362832,0.7874146817718045,0.041117713795511594
una,himachal pradesh,521173,263692,257481,399715,76.69526241766171,976.4460051878707,0.7669526241766171,0.047121702168904066
bilaspur,himachal pradesh,381956,192764,189192,287620,75.3018672307805,981.469569006661,0.7530186723078051,0.034534438418003084
solan,himachal pradesh,580320,308754,271566,428578,73.85201268265784,879.5545968635224,0.7385201268265784,0.05246946062566251
sirmaur,himachal pradesh,529855,276289,253566,362645,68.44230968849968,917.7564072402448,0.6844230968849968,0.047906682623053504
shimla,himachal pradesh,814010,425039,388971,612642,75.26222036584316,915.1419046252227,0.7526222036584316,0.0735984726424999
kinnaur,himachal pradesh,84121,46249,37872,60699,72.15677417054005,818.8717593893922,0.7215677417054005,0.007605775257256956
gurdaspur,punjab,2298323,1212617,1085706,1634719,71.12659969899792,895.3412330521509,0.7112659969899792,0.2078021921587306
kapurthala,punjab,815168,426311,388857,576567,70.72983728507498,912.1439512468596,0.7072983728507498,0.07370317286893449
jalandhar,punjab,2193590,1145211,1048379,1622537,73.96719532820627,915.4461492249027,0.7396719532820627,0.1983327890368194
hoshiarpur,punjab,1586625,809057,777568,1199699,75.61326715512487,961.0793800684006,0.7561326715512487,0.14345422864142504
shahid bhagat singh nagar,punjab,612310,313291,299019,438459,71.6073557511718,954.4449090462223,0.716073557511718,0.055361826984593694
fatehgarh sahib,punjab,600163,320795,279368,426033,70.98621541147988,870.8614535762714,0.7098621541147988,0.05426355958347031
ludhiana,punjab,3498739,1867816,1630923,2560225,73.17564985556224,873.1711260638093,0.7317564985556224,0.31633744864896923
moga,punjab,995746,525920,469826,627889,63.057145095235136,893.3411925768178,0.6305714509523513,0.09003007916349763
firozpur,punjab,2029074,1071637,957437,1227511,60.49611793359927,893.434063960091,0.6049611793359927,0.1834581237068437
muktsar,punjab,901896,475622,426274,524848,58.19384940170485,896.2453376841273,0.5819384940170486,0.08154465925772422
faridkot,punjab,617508,326671,290837,381285,61.745758759400694,890.3055367632878,0.6174575875940069,0.05583180261240627
bathinda,punjab,1388525,743197,645328,844868,60.84643776669487,868.313515797292,0.6084643776669487,0.12554307591543984
mansa,punjab,769751,408732,361019,423560,55.025586196055606,883.2658074239355,0.5502558619605561,0.06959680828864134
patiala,punjab,1895686,1002522,893164,1266791,66.82493830729351,890.9171070560049,0.668249383072935,0.17139788726154478
amritsar,punjab,2490656,1318408,1172248,1684770,67.6436248120977,889.1390222146711,0.676436248120977,0.22519192329071908
tarn taran,punjab,1119627,589369,530258,666162,59.498565147142756,899.7045993257195,0.5949856514714276,0.10123074302441523
rupnagar,punjab,684627,357485,327142,502731,73.43137211941685,915.1209141642307,0.7343137211941685,0.061900347083963074
sahibzada ajit singh nagar,punjab,994628,529253,465375,736575,74.05532520701207,879.3053605742433,0.7405532520701208,0.08992899552519551
sangrur,punjab,1655169,878029,777140,1002077,60.54227695177955,885.0960503582455,0.6054227695177955,0.14965161406520058
barnala,punjab,595527,317522,278005,359831,60.42228144147956,875.5456314838027,0.6042228144147956,0.05384439701891874
chandigarh,chandigarh,1055450,580663,474787,805438,76.31228385996495,817.6636017793454,0.7631228385996495,0.09542819861000051
uttarkashi,uttarakhand,330086,168597,161489,215126,65.17271256581618,957.8402937181563,0.6517271256581618,0.029844627757241584
chamoli,uttarakhand,391605,193991,197614,280556,71.6425990475096,1018.6761241500894,0.716425990475096,0.03540684989025463
rudraprayag,uttarakhand,242285,114589,127696,170933,70.55038487731392,1114.3827068915864,0.7055038487731392,0.021906126391798734
tehri garhwal,uttarakhand,618931,297986,320945,407994,65.91914122898999,1077.047243830247,0.6591914122898999,0.055960462735218375
dehradun,uttarakhand,1696694,892199,804495,1259506,74.23294948882946,901.6990604114104,0.7423294948882946,0.1534060846202058
garhwal,uttarakhand,687271,326829,360442,494889,72.00783970224263,1102.8458306943387,0.7200783970224264,0.06213940355951837
pithoragarh,uttarakhand,483439,239306,244133,345550,71.47747699296086,1020.1708273089685,0.7147747699296086,0.0437099937541523
bageshwar,uttarakhand,259898,124326,135572,179483,69.0590154599112,1090.4557373357143,0.690590154599112,0.023498600561222147
almora,uttarakhand,622506,291081,331425,436497,70.11932415109253,1138.6005957104724,0.7011932415109253,0.05628369529955657
champawat,uttarakhand,259648,131125,128523,177726,68.44882302193739,980.1563393708293,0.6844882302193739,0.023475996885394302
nainital,uttarakhand,954605,493666,460939,696500,72.96211522043149,933.7061900151115,0.7296211522043149,0.08631032785456397
udham singh nagar,uttarakhand,1648902,858783,790119,1037839,62.94121785284996,920.0449939041644,0.6294121785284996,0.14908498511954812
hardwar,uttarakhand,1890422,1005295,885127,1178354,62.3328547805728,880.4649381524827,0.623328547805728,0.17092194426331367
